"table_schema","table_name","table_type"
"public","country_region","BASE TABLE"
"public","dim_customer","BASE TABLE"
"public","dim_date","BASE TABLE"
"public","dim_product","BASE TABLE"
"public","dim_store","BASE TABLE"
"public","forquerying2","BASE TABLE"
"public","forview","BASE TABLE"
"public","my_store_overviews","BASE TABLE"
"public","my_store_overviews_2","BASE TABLE"
"public","my_store_overviewsnew","BASE TABLE"
"public","new_store_overview","BASE TABLE"
"public","orders","BASE TABLE"
"public","test","BASE TABLE"
"public","test_store_overviews","BASE TABLE"
"public","test_store_overviews_2","BASE TABLE"
